1	0.002379104
2	0.001127088
3	0.000669759
4	0.00045873
5	0.000341884
6	0.000275352
7	0.000232039
8	0.000200459
9	0.000179122
10	0.000160491
11	0.000145693
12	0.000132964
13	0.000123017
14	0.00011375
15	0.000107766
16	9.9504e-05
17	9.3445e-05
18	8.8669e-05
19	8.434e-05
20	8.0345e-05
21	7.6371e-05
22	7.2583e-05
23	6.9103e-05
24	6.7055e-05
25	6.4044e-05
26	6.1482e-05
27	5.9635e-05
28	5.7458e-05
29	5.5381e-05
30	5.3078e-05
31	5.1544e-05
32	5.1416e-05
33	5.1001e-05
34	5.4435e-05
35	6.4039e-05
36	9.2601e-05
37	0.000156713
38	0.000313962
39	0.000690482
40	0.0141167
